feature_set,model,split,threshold,accuracy,balanced_accuracy,f1,precision,recall,no_recall,yes_recall,true_no_pred_no,true_no_pred_yes,true_yes_pred_no,true_yes_pred_yes,C,class_weight,experiment_type
v1_yellow_related,logistic_c_1_0__none,validation,0.5,0.5844748858447488,0.5418973688873139,0.6820960698689956,0.6497504159733777,0.7178308823529411,0.36596385542168675,0.7178308823529411,243,421,307,781,1.0,none,logistic_tuning
v1_yellow_related,logistic_c_1_0__balanced,train,0.5,0.6475019386285588,0.649581376178205,0.6760333944206882,0.7211120764552563,0.6362591031046378,0.6629036492517721,0.6362591031046378,2525,1284,1898,3320,1.0,balanced,logistic_tuning
v1_yellow_related,logistic_c_1_0__balanced,validation,0.5,0.5570776255707762,0.5544660258681786,0.613160518444666,0.6699346405228758,0.5652573529411765,0.5436746987951807,0.5652573529411765,361,303,473,615,1.0,balanced,logistic_tuning
v1_yellow_related,logistic_c_1_0__no_1_2,train,0.5,0.655367231638418,0.6465307902316446,0.7022681596325007,0.7013955266679411,0.7031429666538904,0.5899186138093988,0.7031429666538904,2247,1562,1549,3669,1.0,no_1_2,logistic_tuning
v1_yellow_related,logistic_c_1_0__no_1_2,validation,0.5,0.5639269406392694,0.5447211640680368,0.6399622997172478,0.6566731141199227,0.6240808823529411,0.46536144578313254,0.6240808823529411,309,355,409,679,1.0,no_1_2,logistic_tuning
v1_yellow_related,logistic_c_1_0__yes_1_2,train,0.5,0.6566965769358591,0.6199265200804895,0.7423297580444,0.6556028785431047,0.8555001916443081,0.38435284851667106,0.8555001916443081,1464,2345,754,4464,1.0,yes_1_2,logistic_tuning
v1_yellow_related,logistic_c_1_0__yes_1_2,validation,0.5,0.6084474885844748,0.5456458185683912,0.7186218211648893,0.6488888888888888,0.8051470588235294,0.286144578313253,0.8051470588235294,190,474,212,876,1.0,yes_1_2,logistic_tuning
v1_yellow_related,logistic_c_1_0__yes_1_4,train,0.5,0.647834274952919,0.6014143037998503,0.7468747511744566,0.6388775371202834,0.8988118052893829,0.3040168023103177,0.8988118052893829,1158,2651,528,4690,1.0,yes_1_4,logistic_tuning
v1_yellow_related,logistic_c_1_0__yes_1_4,validation,0.5,0.6124429223744292,0.5344835223245925,0.7329925285096343,0.6405498281786941,0.8566176470588235,0.21234939759036145,0.8566176470588235,141,523,156,932,1.0,yes_1_4,logistic_tuning
v1_yellow_related,logistic_c_3_0__none,train,0.5,0.6621247369004098,0.6395445275411838,0.7285027594801495,0.680186170212766,0.7842085090072825,0.4948805460750853,0.7842085090072825,1885,1924,1126,4092,3.0,none,logistic_tuning
v1_yellow_related,logistic_c_3_0__none,validation,0.5,0.583904109589041,0.5423181697377746,0.6806833114323259,0.6502092050209205,0.7141544117647058,0.3704819277108434,0.7141544117647058,246,418,311,777,3.0,none,logistic_tuning
v1_yellow_related,logistic_c_3_0__balanced,train,0.5,0.6475019386285588,0.6495104843876555,0.6761652757989008,0.7209201388888888,0.6366423917209659,0.662378577054345,0.6366423917209659,2523,1286,1896,3322,3.0,balanced,logistic_tuning
v1_yellow_related,logistic_c_3_0__balanced,validation,0.5,0.5593607305936074,0.5557173547129695,0.6166832174776564,0.6706263498920086,0.5707720588235294,0.5406626506024096,0.5707720588235294,359,305,467,621,3.0,balanced,logistic_tuning
v1_yellow_related,logistic_c_3_0__no_1_2,train,0.5,0.6566965769358591,0.6481414527192008,0.7030186871106852,0.7030860647881925,0.7029513223457263,0.5933315830926752,0.7029513223457263,2260,1549,1550,3668,3.0,no_1_2,logistic_tuning
v1_yellow_related,logistic_c_3_0__no_1_2,validation,0.5,0.5656392694063926,0.5463932937632885,0.6415449835138954,0.6579710144927536,0.6259191176470589,0.46686746987951805,0.6259191176470589,310,354,407,681,3.0,no_1_2,logistic_tuning
v1_yellow_related,logistic_c_3_0__yes_1_2,train,0.5,0.6568073557106459,0.6202350176062202,0.7421770972037284,0.6559282141806414,0.854541970103488,0.3859280651089525,0.854541970103488,1470,2339,759,4459,3.0,yes_1_2,logistic_tuning
v1_yellow_related,logistic_c_3_0__yes_1_2,validation,0.5,0.6078767123287672,0.5454797129695252,0.717864476386037,0.6488492947290274,0.8033088235294118,0.2876506024096386,0.8033088235294118,191,473,214,874,3.0,yes_1_2,logistic_tuning
v1_yellow_related,logistic_c_3_0__yes_1_4,train,0.5,0.6502714079982276,0.6045148762573482,0.7479441117764472,0.6410291501300123,0.8976619394403986,0.31136781307429773,0.8976619394403986,1186,2623,534,4684,3.0,yes_1_4,logistic_tuning
v1_yellow_related,logistic_c_3_0__yes_1_4,validation,0.5,0.6135844748858448,0.5374568125442949,0.7325167917819044,0.6424116424116424,0.8520220588235294,0.22289156626506024,0.8520220588235294,148,516,161,927,3.0,yes_1_4,logistic_tuning
