feature_set,model,split,score_type,score,count,rate
v1_score_related,random_forest_reference,train,actual,2:0,653,0.0723385399357483
v1_score_related,random_forest_reference,train,actual,1:2,641,0.0710091946383073
v1_score_related,random_forest_reference,train,actual,0:0,601,0.06657804364683727
v1_score_related,random_forest_reference,train,actual,2:2,474,0.05250913924891991
v1_score_related,random_forest_reference,train,actual,0:2,455,0.05040434252797164
v1_score_related,random_forest_reference,train,actual,3:1,377,0.04176359809460507
v1_score_related,random_forest_reference,train,predicted,1:1,2679,0.29677633765370554
v1_score_related,random_forest_reference,train,predicted,2:1,2254,0.24969535836933643
v1_score_related,random_forest_reference,train,predicted,1:2,1462,0.16195856873822975
v1_score_related,random_forest_reference,train,predicted,2:2,698,0.0773235848011521
v1_score_related,random_forest_reference,train,predicted,3:1,559,0.06192533510579373
v1_score_related,random_forest_reference,train,predicted,2:0,331,0.036667774454414534
v1_score_related,random_forest_reference,train,predicted,1:3,262,0.029024038994128726
v1_score_related,random_forest_reference,train,predicted,1:0,162,0.01794616151545364
v1_score_related,random_forest_reference,train,predicted,3:0,133,0.014733577046637865
v1_score_related,random_forest_reference,train,predicted,0:2,104,0.01152099257782209
v1_score_related,random_forest_reference,validation,actual,1:1,213,0.12157534246575342
v1_score_related,random_forest_reference,validation,actual,1:0,152,0.0867579908675799
v1_score_related,random_forest_reference,validation,actual,2:1,133,0.07591324200913242
v1_score_related,random_forest_reference,validation,actual,1:2,120,0.0684931506849315
v1_score_related,random_forest_reference,validation,actual,2:0,120,0.0684931506849315
v1_score_related,random_forest_reference,validation,actual,0:1,114,0.06506849315068493
v1_score_related,random_forest_reference,validation,actual,0:0,112,0.0639269406392694
v1_score_related,random_forest_reference,validation,actual,2:2,110,0.06278538812785388
v1_score_related,random_forest_reference,validation,actual,0:2,80,0.045662100456621
v1_score_related,random_forest_reference,validation,actual,3:1,80,0.045662100456621
v1_score_related,random_forest_reference,validation,predicted,2:1,686,0.3915525114155251
v1_score_related,random_forest_reference,validation,predicted,1:1,470,0.2682648401826484
v1_score_related,random_forest_reference,validation,predicted,1:2,325,0.18550228310502284
v1_score_related,random_forest_reference,validation,predicted,3:1,125,0.07134703196347032
v1_score_related,random_forest_reference,validation,predicted,2:2,114,0.06506849315068493
v1_score_related,random_forest_reference,validation,predicted,1:3,19,0.010844748858447488
v1_score_related,random_forest_reference,validation,predicted,5:1,4,0.00228310502283105
v1_score_related,random_forest_reference,validation,predicted,4:1,3,0.0017123287671232876
v1_score_related,random_forest_reference,validation,predicted,2:3,2,0.001141552511415525
v1_score_related,random_forest_reference,validation,predicted,3:2,1,0.0005707762557077625
v1_score_related,ridge_regression,test,actual,1:1,215,0.12292738707833048
v1_score_related,ridge_regression,test,actual,1:0,162,0.09262435677530018
v1_score_related,ridge_regression,test,actual,2:1,147,0.08404802744425385
v1_score_related,ridge_regression,test,actual,1:2,127,0.07261292166952545
v1_score_related,ridge_regression,test,actual,0:1,124,0.07089765580331618
v1_score_related,ridge_regression,test,actual,2:0,111,0.0634648370497427
v1_score_related,ridge_regression,test,actual,2:2,106,0.06060606060606061
v1_score_related,ridge_regression,test,actual,0:0,101,0.0577472841623785
v1_score_related,ridge_regression,test,actual,0:2,101,0.0577472841623785
v1_score_related,ridge_regression,test,actual,3:1,74,0.04230989136649514
v1_score_related,ridge_regression,test,predicted,2:1,693,0.39622641509433965
v1_score_related,ridge_regression,test,predicted,1:1,508,0.2904516866781018
v1_score_related,ridge_regression,test,predicted,1:2,341,0.1949685534591195
v1_score_related,ridge_regression,test,predicted,3:1,76,0.04345340194396798
v1_score_related,ridge_regression,test,predicted,2:2,66,0.03773584905660377
v1_score_related,ridge_regression,test,predicted,2:0,30,0.017152658662092625
v1_score_related,ridge_regression,test,predicted,1:3,17,0.009719839908519153
v1_score_related,ridge_regression,test,predicted,3:0,9,0.005145797598627788
v1_score_related,ridge_regression,test,predicted,0:2,3,0.0017152658662092624
v1_score_related,ridge_regression,test,predicted,3:2,2,0.0011435105774728416
v1_score_related,ridge_regression,train,actual,1:1,1095,0.1213027583914922
v1_score_related,ridge_regression,train,actual,1:0,809,0.08962002880248145
v1_score_related,ridge_regression,train,actual,2:1,807,0.08939847125290794
v1_score_related,ridge_regression,train,actual,0:1,653,0.0723385399357483
v1_score_related,ridge_regression,train,actual,2:0,653,0.0723385399357483
v1_score_related,ridge_regression,train,actual,1:2,641,0.0710091946383073
v1_score_related,ridge_regression,train,actual,0:0,601,0.06657804364683727
v1_score_related,ridge_regression,train,actual,2:2,474,0.05250913924891991
v1_score_related,ridge_regression,train,actual,0:2,455,0.05040434252797164
v1_score_related,ridge_regression,train,actual,3:1,377,0.04176359809460507
v1_score_related,ridge_regression,train,predicted,2:1,3225,0.3572615486872715
v1_score_related,ridge_regression,train,predicted,1:1,2767,0.30652486983493965
v1_score_related,ridge_regression,train,predicted,1:2,1842,0.2040545031571951
v1_score_related,ridge_regression,train,predicted,3:1,468,0.0518444666001994
v1_score_related,ridge_regression,train,predicted,2:2,280,0.03101805694029024
v1_score_related,ridge_regression,train,predicted,2:0,139,0.015398249695358369
v1_score_related,ridge_regression,train,predicted,1:3,123,0.013625789298770355
v1_score_related,ridge_regression,train,predicted,3:0,57,0.006314390162844799
v1_score_related,ridge_regression,train,predicted,0:2,46,0.00509582364019054
v1_score_related,ridge_regression,train,predicted,4:1,26,0.0028802481444555224
v1_score_related,ridge_regression,validation,actual,1:1,213,0.12157534246575342
v1_score_related,ridge_regression,validation,actual,1:0,152,0.0867579908675799
v1_score_related,ridge_regression,validation,actual,2:1,133,0.07591324200913242
v1_score_related,ridge_regression,validation,actual,1:2,120,0.0684931506849315
v1_score_related,ridge_regression,validation,actual,2:0,120,0.0684931506849315
